# INFORMACIÓN DE PELÍCULAS OBTENIDA MANUALMENTE VÍA GEMINI
# ================================================================
#
# PROCESO MANUAL UTILIZADO:
# 1. Se tomó la lista de películas únicas del archivo "nombres_unicos_prioritarios.txt"
#    (ordenada de más falta de información a menor falta de información)
# 2. Se copió y pegó la lista completa en Google Gemini
# 3. Se solicitó a Gemini que completara la información faltante (DIRECTOR y ACTOR_PRINCIPAL)
#    para cada película en la medida de lo posible
#
# AUTOMATIZACIÓN FUTURA:
# Este proceso manual se puede automatizar en posteriores pasos mediante:
# - Integración con la API de Google Gemini
# - Uso de credenciales de cuenta individual de cada usuario
# - Implementación de consultas automáticas por lotes
# - Validación y limpieza automática de respuestas
#
# FORMATO ESPERADO:
# Cada línea debe seguir el formato:
# NOMBRE_UNICO|DIRECTOR|ACTOR_PRINCIPAL
#
# Ejemplo:
# ALIEN ROMULUS|Fede Álvarez|Cailee Spaeny; David Jonsson
# BEETLEJUICE BEETLEJUICE|Tim Burton|Michael Keaton; Winona Ryder
#
# NOTAS:
# - Si no se encuentra información, dejar el campo vacío después del |
# - Múltiples actores separados por punto y coma (;)
# - Múltiples directores separados por punto y coma (;)
# - Mantener los nombres únicos exactamente como aparecen en la lista original
#
# ================================================================
# INFORMACIÓN RECOLECTADA (COPIAR Y PEGAR AQUÍ):
# ================================================================
NOMBRE_UNICO,DIRECTOR,ACTOR_PRINCIPAL 
 BAILARINA BR,Len Wiseman,Ana de Armas 

 BAILARINA LED,Len Wiseman,Ana de Armas 

 BAMBI UNA AVENTURA EN EL BOSQUE SJ,David Hand & James Algar, 

 BARBIE,Greta Gerwig,Margot Robbie 

 BECOMING LED ZEPPELIN,Bernard MacMahon, 

 BECOMING LED ZEPPELIN LOS INICIOS,Bernard MacMahon, 

 BEETLEJUICE BEETLEJUICE,Tim Burton,Michael Keaton 

 BETTER MAN LA HISTORIA DE ROBBIE SING ALONG,Michael Gracey,Robbie Williams 

 BETTER MAN LA HISTORIA DE ROBBIE W SING ALONG,Michael Gracey,Robbie Williams 

 BETTER MAN LA HISTORIA DE ROBBIE WILLIAMS,Michael Gracey,Robbie Williams 

 BETTER MAN LA HISTORIA DE ROBBIE WILLIAMS BR,Michael Gracey,Robbie Williams 

 BIRD EMPRENDER EL VUELO,Andrea Arnold,Barry Keoghan 

 BJÖRK CORNUCOPIA,,Björk 

 BJÖRK CORNUCOPIA EN CINES,,Björk 

 BLANCA NIEVES FINA,Marc Webb,Rachel Zegler 

 BLANCA NIEVES FINB,Marc Webb,Rachel Zegler 

 BLANCA NIEVES SJ,Marc Webb,Rachel Zegler 

 BLUEY JUGUEMOS A SER CHEF,, 

 BLUEY JUGUEMOS A SER CHEF SJ,, 

 BLUR LIVE AT WEMBLEY STADIUM,Toby L,Damon Albarn 

 BRIDGET JONES LOCA POR ÉL BR,Michael Morris,Renée Zellweger 

 BRUJA,Yana Titova, 

 BRUTALISTA,Brady Corbet,Adrien Brody 

 BTS 2016 HYYH ON STAGE EPILOGO REMASTERIZ,,BTS 

 BTS 2016 HYYH ON STAGE EPILOGO REMASTERIZADO,,BTS 

 BTS 2017 THE WINGS TOUR FINAL REMASTERIZADO,,BTS 

 BTS 2017 THE WINGS TOUR THE FINAL REMASTERI,,BTS 

 BTS 2017 THE WINGS TOUR THE FINAL REMASTERIZAD,,BTS 

 BTS 2019 SPEAK YOURSELF LONDON REMASTERIZADO,,BTS 

 BTS 2019SPEAK YOURSELF LONDON REMASTERIZA,,BTS 

 BTS 2021 MUSTER SOWOOZOO REMASTERIZADO,,BTS 

 BTS ARMY FOREVER WE ARE YOUNG,,BTS 

 BTS MAP OF THE SOUL ON E,,BTS 

 BUEN SALVAJE,Santiago Mohar Volkow, 

 CAPITÁN AMÉRICA UN NUEVO MUNDO,Julius Onah,Anthony Mackie 

 CAPITÁN AMÉRICA UN NUEVO MUNDO BR,Julius Onah,Anthony Mackie 

 CAPITÁN AMÉRICA UN NUEVO MUNDO SJ,Julius Onah,Anthony Mackie 

 CAPITÁN AVISPA,Jean Gabriel Guerra & Jonathan Meléndez,Juan Luis Guerra 

 CARGA MÁS PRECIADA,Michel Hazanavicius, 

 CHARLIE UN PERRO ESPECIAL,Dean Cain, 

 CHOSEN LA ÚLTIMA CENA,Dallas Jenkins,Jonathan Roumie 

 CHOSEN T4 EP 5 Y 6,Dallas Jenkins,Jonathan Roumie 

 CHOSEN ÚLTIMA CENA,Dallas Jenkins,Jonathan Roumie 

 COCINA,Alonso Ruizpalacios,Raúl Briones Carmona 

 COLORFUL STAGE LA PELÍCULA MIKU NO PUEDE CA,Hiroyuki Oshima, 

 COLORFUL STAGE MIKU NO PUEDE CANTAR,Hiroyuki Oshima, 

 COMPLETO DESCONOCIDO,James Mangold,Timothée Chalamet 

 CONJURO 4 ÚLTIMOS RITOS BR,Michael Chaves,Patrick Wilson 

 CONJURO 4 ÚLTIMOS RITOS FES,Michael Chaves,Patrick Wilson 

 CONJURO 4 ÚLTIMOS RITOS FINA,Michael Chaves,Patrick Wilson 

 CONJURO 4 ÚLTIMOS RITOS LED,Michael Chaves,Patrick Wilson 

 CONTADOR 2 BR,Gavin O'Connor,Ben Affleck 

 CORTE DIRECTOR PÁRVULOS HIJOS DEL APOCALIPSIS,Elias Matar, 

 CUADRILÁTERO,Daniela Castro & Nicolás Pimentel, 

 CUANDO EL DEMONIO LLAMA,Alberto Corredor,Freya Allan 

 CUENTO DE LA PRINCESA KAGUYA,Isao Takahata, 

 CUENTO DE PESCADORES,Marco Almada, 

 CÓDIGO NEGRO BR,Ric Roman Waugh,Gerard Butler 

 CÓDIGO NEGRO LED,Ric Roman Waugh,Gerard Butler 

 CÓDIGO TRAJE ROJO SJ,, 

 CÓMO ENTRENAR A TU DRAGÓN FINA,Dean DeBlois,Mason Thames 

 CÓMO ENTRENAR A TU DRAGÓN FINB,Dean DeBlois,Mason Thames 

 CÓNCLAVE BR,Edward Berger,Ralph Fiennes 

 DAFT PUNK LEIJI MATSUMOTO INTERSTELLA,Kazuhisa Takenouchi, 

 DAFT PUNK LEIJI MATSUMOTO INTERSTELLA 5555,Kazuhisa Takenouchi, 

 DALIA Y EL LIBRO ROJO SJ,David Bisbano, 

 DAN DA DAN,Fuga Yamashiro, 

 DAVID GILMOUR,,David Gilmour 

 DAVID GILMOUR CONCIERTO EN EL CIRCO MÁ,,David Gilmour 

 DAVID GILMOUR LIVE AT THE CIRCUS MAXIMUS,,David Gilmour 

 DAVID GILMOUR LIVE CIRCUS MAXIMUS ROME,,David Gilmour 

 DE LA LUZ Y DE LAS SOMBRAS,Taiina, 

 DEMON SLAYER EL TREN INFINITO,Haruo Sotozaki, 

 DEMON SLAYER EL TREN INFINITO BR,Haruo Sotozaki, 

 DEMON SLAYER KIMETSU NO YAIBA BR,Haruo Sotozaki, 

 DEMON SLAYER MUGEN TRAIN LA PELÍCULA,Haruo Sotozaki, 

 DEMONIO VIENE POR TI,Ángel Gonzalez, 

 DOS MONJAS EXORCISMOS PROHIBIDOS,Paul Catalanotto, 

 DRÁCULA MAR DE SANGRE,André Øvredal,Corey Hawkins 

 DÍA QUE LA TIERRA EXPLOTÓ LOONEY TUNES,Pete Browngardt,Eric Bauza 

 EFÍMERA,Luis Mariano García, 

 ELIO,Adrian Molina, 

 ELIO FINA,Adrian Molina, 

 ELIO FINB,Adrian Molina, 

 ELIO LED,Adrian Molina, 

 ELIO SJ,Adrian Molina, 

 EMILIA PÉREZ BR,Jacques Audiard,Zoe Saldaña 

 ENHYPEN WORLD TOUR FATE,,ENHYPEN 

 ENTRE NOSOTROS,Jude Anthany Joseph, 

 ESCAPE EXPLOSIVO,Nimród Antal,Liam Neeson 

 ESPOSA DEL PRESIDENTE,Léa Domenach,Catherine Deneuve 

 ESQUEMA FENICIO,Elias Khlat, 

 ESTACIÓN FANTASMA,Michael Crum, 

 EVENTO ESPECIAL DEMON SLAYER,, 

 EXORCISTAS TRINIDAD PROFANA,Joe Chien, 

 EXTERMINIO LA EVOLUCIÓN BR,Danny Boyle,Jodie Comer 

 EXTERMINIO LA EVOLUCIÓN LED,Danny Boyle,Jodie Comer 

 F1 BR,Joseph Kosinski,Brad Pitt 

 F1 FAN FIRST PREMIERES EXCLUSIVELY IN,, 

 F1 LED,Joseph Kosinski,Brad Pitt 

 FALLA,Juan Antonio M-R, 

 FICG A MELHOR MÃE DO MUNDO,Anna Muylaert, 

 FICG A NATUREZA DAS COISAS INVISÍVEIS,Karla Souza, 

 FICG A PROCURA DE MARTINA,Marcia Faria, 

 FICG A SAVANA E A MONTANHA,Paulo Carneiro, 

 FICG ABRACADÁVER,Manolo Caro, 

 FICG APENAS COISAS BOAS,Daniel Tavares, 

 FICG AT THE END OF THE WORLD,Ruda Santos, 

 FICG AUTOS MOTA Y ROCANROL,Everardo Valerio, 

 FICG BOCA VIEJA,Alê Abreu, 

 FICG CAFÉ CHAIREL,Carlos Enderle, 

 FICG CASA DE LAVA,Pedro Costa, 

 FICG COCODRILOS,Jorge Yúdice, 

 FICG COPAN,Caru Alves de Souza, 

 FICG CORTOMETRAJE IBEROAMERICANO 01,, 

 FICG CORTOMETRAJE IBEROAMERICANO 02,, 

 FICG CORTOMETRAJE IBEROAMERICANO 03,, 

 FICG CORTOMETRAJE IBEROAMERICANO 04,, 

 FICG CORTOMETRAJE IBEROAMERICANO 05,, 

 FICG CROMA,Jean-Christophe Meurisse, 

 FICG CUERPO CELESTE,Alice Rohrwacher, 

 FICG DOCE LUNAS,Frédéric Fonteyne, 

 FICG ECO DE LUZ,Ere de la Parra, 

 FICG EL ATARDECER DE LOS GRILLOS,Silvana Lopa, 

 FICG EL CANTO DE LAS MANOS,Paula Pires, 

 FICG EL TEMA DEL VERANO,Israel Adrián Caetano, 

 FICG ENDLESS COOKIE,Seth Scriver, 

 FICG ESTA ISLA,Svetlana Cvetko, 

 FICG FARO,Gabe Ibáñez, 

 FICG HOT MILK,Rebecca Lenkiewicz,Fiona Shaw 

 FICG ISLEÑO,David Pantaleón, 

 FICG LA GRAN HISTORIA DE LA FILOSOFÍA OCCIDENTAL,Jordi évolé, 

 FICG LA JOIA BAD GYAL,David Camarero, 

 FICG LA MEMORIA DE LAS MARIPOSAS,Tatiana Huezo, 

 FICG LA QUINTA,Leandro Listorti, 

 FICG LESBIAN SPACE PRINCESS,Veronica Kedar, 

 FICG LLAMARSE OLIMPIA,Esmir Filho, 

 FICG LLUEVE SOBRE BABEL,Gustavo Steinberg, 

 FICG LO IMPOSIBLE,J.A. Bayona,Naomi Watts 

 FICG LOS AÑOS SALVAJES,Ventura Durall, 

 FICG MAYA DONNE MOI UN TITRE,Michel Gondry, 

 FICG MIRABA CAER LAS GOTAS ILUMINADAS,Begoña Vicario, 

 FICG MOLT LLUNY,Gerard Oms, 

 FICG NAYOLA,José Miguel Ribeiro, 

 FICG NO DEJES A LOS NIÑOS SOLOS,Jorge Algora, 

 FICG NO GRACIAS YA NO FUMO,Rodrigo García, 

 FICG O ÚLTIMO AZUL,Irene Zoe Alameda, 

 FICG OLIVIA LAS NUBES,Tomás Corredor, 

 FICG ONDA NOVA,Sérgio Machado, 

 FICG ONLY ON EARTH,Robin Petré, 

 FICG ORO AMARGO,Bárbara Pestan, 

 FICG OS VERDES ANOS,Paulo Rocha, 

 FICG OURO NEGRO,Daniel Filho, 

 FICG PATIO DE CHACALES,Diego Mondaca, 

 FICG PREMIO RIGO MORA 01,, 

 FICG PREMIO RIGO MORA 02,, 

 FICG PREMIO RIGO MORA 03,, 

 FICG RUNA SIMI,Juan Sebastián Jácome, 

 FICG SABAR BONDA,M. G. Srinivas, 

 FICG SEEDS,Brittany Snow, 

 FICG SIEMPRE VUELVEN,Marcelo Lordello, 

 FICG SOBRE LAS OLAS,Horacio Alcalá, 

 FICG SONHAR COM LEÕES,Paolo Marinou-Blanco, 

 FICG SPACE CADET,Liz W. Garcia,Emma Roberts 

 FICG TARDES DE SOLEDAD,Albert Serra, 

 FICG THE MOUNTAIN WON T MOVE,Frédéric Guillaume, 

 FICG THE SHEPHERD AND THE BEAR,Miloslav Luther, 

 FICG TIGUERE,José María Cabral, 

 FICG TRÁS OS MONTES,António Reis & Margarida Cordeiro, 

 FICG UM ADEUS PORTUGUÊS,João Botelho, 

 FICJM AMÉRICA,Ofir Raul Graizer, 

 FICJM CORRIENDO EN LA ARENA,Gabor Csupo, 

 FICJM ESCUCHA,Ana Rocha de Sousa, 

 FICJM LA HISTORIA DE ANNETTE,Vicente Villanueva, 

 FICJM LA PROMESA DE IRENE,Louise Archambault,Sophie Nélisse 

 FICJM LO QUE NO SE HABLÓ,Ángeles Cruz, 

 FICM 1992,Ariel Winograd, 

 FICM A REAL PAIN,Jesse Eisenberg,Jesse Eisenberg 

 FICM CONCLAVE,Edward Berger,Ralph Fiennes 

 FLOW,Gints Zilbalodis, 

 FLOW BR,Gints Zilbalodis, 

 FLOW OV,Gints Zilbalodis, 

 FLOW SJ OV,Gints Zilbalodis, 

 FRONTERA INVISIBLE,Alejandro Small, 

 FTM CORAZÓN EN JUEGO,Frank Ariza, 

 FTM CÓMO SER MILLONARIO ANTES QUE MUERA LA ABUELA,Pat Boonnitipat,Putthipong Assaratanakul 

 FTM DESPIERTA MAMÁ,Arianne Benedetti, 

 FTM DESVANECIDO,Tim Brown, 

 FTM EL ABUELO LLEGÓ,César Cotelo, 

 FTM EL DIABLO A LOS OJOS,Davo scrib, 

 FTM EL HIJO DE SU PADRE,Jiajie Yu Yan, 

 FTM EL MARAVILLOSO MAGO DE OZ,Victor Fleming,Judy Garland 

 FTM LAS HIJAS DEL VIENTO,Javier Balaguer, 

 FTM LO QUE DICE EL CORAZÓN,David Nixon, 

 FTM NOSOTROS LOS DE LA FE,Julio Roman, 

 FTM RAISING THE BAR THE ALMA RICHARDS STORY,D.W. Richards, 

 FTM REFLEJOS EN EL TIEMPO,Stiles White, 

 FTM SIEMPRE HABRÁ UN MAÑANA,Paola Cortellesi,Paola Cortellesi 

 G I DLE WORLD TOUR IDOL IN,,(G)I-DLE 

 G I DLE WORLD TOUR IDOL IN CINEMAS,,(G)I-DLE 

 GLADIADOR II BR,Ridley Scott,Paul Mescal 

 GO WILD ATARASHII GAKKO LA PELÍCULA,,Atarashii Gakko! 

 GOODBYE HORSES LAS MUCHAS VIDAS DE Q LAZZARUS,Alex Steyermark, 

 GRAN CICLÓN,Herbert James, 

 GRAN VIAJE DE TU VIDA,Miguel Ángel Tobías, 

 GUNDAM GQUUUUUUX EL INICIO,Yoshiyuki Tomino, 

 HANS ZIMMER FRIENDS DIAMOND IN THE DESER,,Hans Zimmer 

 HANS ZIMMER FRIENDS DIAMOND IN THE DESERT,,Hans Zimmer 

 HAZ QUE REGRESE,Vadhir Derbez,Vadhir Derbez 

 HERENCIA SINIESTRA,Julio César Estrada, 

 HERMANASTRA FEA,Jennifer Kaytin Robinson,Camila Mendes 

 HIJAS DEL MAGUEY,Tania Hernández Velasco, 

 HIJO DEL DIABLO,JJ Geier, 

 HIJOS DEL EXORCISMO,Norbert Keil, 

 HOLA FRIDA,Karla Castañeda, 

 HOLDING BACK THE YEARS 40 YEARS OF SIMPLY,,Simply Red 

 HOMBRE LOBO BR,Leigh Whannell,Christopher Abbott 

 HORA DE LA DESAPARICIÓN BR,Brad Anderson,Hayden Christensen 

 HURRY UP TOMORROW MÁS ALLÁ DE LOS REFLECTO,Trey Edward Shults,The Weeknd 

 HURRY UP TOMORROW MÁS ALLÁ DE LOS REFLECTORES,Trey Edward Shults,The Weeknd 

 HYBE CINEMA NORAEBANG,, 

 IMAGINE DRAGONS EN VIVO DESDE,,Imagine Dragons 

 IMAGINE DRAGONS LIVE FROM THE HOLLYWOOD BOWL,,Imagine Dragons 

 INFIERNO EN EL PANTANO,Richard Boddington, 

 INFILTRADA,Stéphane Cazes, 

 INSTINTO MATERNO,Benoît Delhomme,Anne Hathaway 

 INTERESTELAR DIG,Christopher Nolan,Matthew McConaughey 

 INVASIÓN ZOMBIE HIJOS DEL APOCALIPSIS,Elias Matar, 

 INVENCIBLE UN NIÑO FUERA DE SERIE,Mark Polonia, 

 IU CONCERT THE WINNING,,IU 

 IVE THE 1ST WORLD TOUR EN CINES,,IVE 

 J HOPE TOUR HOPE ON THE STAGE,,J-Hope 

 J HOPE TOUR HOPE ON THE STAGE IN JAPAN,,J-Hope 

 J HOPE TOUR HOPE ON THE STAGE LIVE VIEWING OV,,J-Hope 

 JOYLAND LA TIERRA DE LOS SUEÑOS,Saim Sadiq,Ali Junejo 

 JUICIO DE UN PERRO,Gorman Bechard, 

 JUJUTSU KAISEN EL TESORO ESCONDIDO EL TE,Shōta Goshozono, 

 JUJUTSU KAISEN EL TESORO ESCONDIDO EL TE BR,Shōta Goshozono, 

 JUJUTSU KAISEN EL TESORO ESCONDIDO EL TESORO,Shōta Goshozono, 

 JUNE Y JOHN,David Lynch, 

 JURASSIC WORLD RENACE BR,Gareth Edwards,Scarlett Johansson 

 JURASSIC WORLD RENACE FES,Gareth Edwards,Scarlett Johansson 

 KARATE KID LEYENDAS BR,Jonathan Entwistle,Ben Wang 

 KARATE KID LEYENDAS FINA,Jonathan Entwistle,Ben Wang 

 KARATE KID LEYENDAS FINB,Jonathan Entwistle,Ben Wang 

 KARATE KID LEYENDAS LED,Jonathan Entwistle,Ben Wang 

 KARATE KID LEYENDAS SJ,Jonathan Entwistle,Ben Wang 

 KARUARA LA GENTE DEL RÍO,Cristóbal Sotomayor, 

 KAYARA EL CORAZÓN DE LOS ANDES,César Zelada, 

 KAYARA EL CORAZÓN DE LOS ANDES SJ,César Zelada, 

 KAYARA LA PRINCESA INCA,César Zelada, 

 KAYARA LA PRINCESA INCA SJ,César Zelada, 

 KENIA OS LA OG,,Kenia Os 

 KENIA OS LA OG BR,,Kenia Os 

 KRAVEN EL CAZADOR BR,J.C. Chandor,Aaron Taylor-Johnson 

 KYGO 2025 BACK AT THE BOWL,,Kygo 

 KYGO BACK AT THE BOWL,,Kygo 

 LEONORA,Gibrán Bazán, 

 LEYENDA DEL DRAGÓN SJ,Li Jianping, 

 LILO LILO COCODRILO,Will Speck & Josh Gordon,Shawn Mendes 

 LILO STITCH,Dean Fleischer Camp,Maia Kealoha 

 LILO STITCH SJ,Dean Fleischer Camp,Maia Kealoha 

 LILO Y STITCH,Dean Fleischer Camp,Maia Kealoha 

 LILO Y STITCH BR,Dean Fleischer Camp,Maia Kealoha 

 LILO Y STITCH FINB,Dean Fleischer Camp,Maia Kealoha 

 LILO Y STITCH SJ,Dean Fleischer Camp,Maia Kealoha 

 LO QUE DICE EL CORAZÓN,David Nixon, 

 LOONEY TUNES EL DÍA QUE LA TIERRA EXPLOTÓ,Pete Browngardt,Eric Bauza 

 LOONEY TUNES EL DÍA QUE LA TIERRA EXPLOTÓ BR,Pete Browngardt,Eric Bauza 

 LOONEY TUNES EL DÍA QUE LA TIERRA EXPLOTÓ SJ,Pete Browngardt,Eric Bauza 

 LOONEY TUNES EL DÍA QUE LA TIERRA FINA,Pete Browngardt,Eric Bauza 

 M3GAN 2 0 BR,Gerard Johnstone,Allison Williams 

 MAMÁ REINVENTADA,Matthew Johnson, 

 MAMÁ REINVENTADA BR,Matthew Johnson, 

 MARAVILLOSO MAGO DE OZ,Victor Fleming,Judy Garland 

 MARIA CALLAS,Tom Volf, 

 MARS EXPRESS,Jérémie Périn, 

 MARÍA CALLAS,Tom Volf, 

 MASCOTA JURÁSICA 3 VIAJE A LA PREHISTORIA,Ryan Bellgardt, 

 MASCOTAS EN APUROS,Reinhard Klooss, 

 MASCOTAS EN APUROS SJ,Reinhard Klooss, 

 MASTERCHEF CELEBRITY GENERACIONES GRAN FIN,, 

 MEGATORMENTA,Peter Geiger, 

 MEMORIAS DE UN CARACOL,Adam Elliot, 

 MEMORY UN RECUERDO INCOMPLETO,Michel Franco,Jessica Chastain 

 MESA DE REGALOS,Roberto Sneider, 

 MESA DE REGALOS BR,Roberto Sneider, 

